MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338227582,2020-09-04T00:11:56,36.78184,-121.95548,7.5,328.8,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:13:26,36.78465,-121.95661,7.5,340.2,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:14:27,36.78661,-121.95728,7.4,351.3,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:15:56,36.78946,-121.95802,6.2,345.0,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:16:58,36.79150,-121.95871,7.1,333.4,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:18:26,36.79423,-121.95967,7.3,349.9,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:19:57,36.79710,-121.96073,8.3,352.1,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:21:28,36.79977,-121.96194,8.2,328.6,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:22:59,36.80271,-121.96289,6.7,340.0,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:25:58,36.80841,-121.96496,6.1,358.3,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:26:59,36.81026,-121.96582,7.9,337.7,511.0,OCEAN WARRIOR,,,30,,,,,,B
338227582,2020-09-04T00:28:28,36.81301,-121.96700,6.7,331.2,511.0,OCEAN WARRIOR,,,30,,,,,,B
338385801,2020-09-07T17:29:54,36.80978,-121.95430,4.7,330.2,334.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
338385801,2020-09-07T17:30:55,36.81117,-121.95530,6.3,324.4,326.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
338385801,2020-09-07T17:32:26,36.81307,-121.95540,7.9,45.9,48.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
338385801,2020-09-07T17:33:27,36.81455,-121.95397,6.3,292.1,293.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
338385801,2020-09-07T17:35:01,36.81437,-121.95443,3.1,192.6,192.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
338385801,2020-09-07T17:36:03,36.81362,-121.95503,3.9,220.9,235.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
338385801,2020-09-07T17:38:35,36.81207,-121.95710,3.9,227.8,238.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
338385801,2020-09-07T17:39:38,36.81153,-121.95795,3.1,222.2,234.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
338385801,2020-09-07T17:41:08,36.80735,-121.95683,11.9,157.1,160.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
338385801,2020-09-07T17:42:09,36.80487,-121.95602,7.9,162.2,165.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
338385801,2020-09-07T17:43:41,36.80337,-121.95530,2.3,160.7,157.0,BRAD R LEWIS,,BRAD L,37,,23,7,,,B
