MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368076870,2022-10-16T10:17:55,42.45548,-70.55586,24.0,105.8,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-16T10:18:58,42.45372,-70.54674,23.2,100.4,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-16T10:20:03,42.45181,-70.53729,22.7,105.3,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-16T10:21:14,42.44985,-70.52727,24.0,102.8,511.0,KEEPER,,,37,,9,4,,,B
368089650,2022-10-18T09:51:01,42.45574,-70.52709,7.2,140.3,511.0,RELIANCE,,WDK7974,30,,28,8,,,B
368089650,2022-10-18T09:52:32,42.45375,-70.52424,7.3,134.1,511.0,RELIANCE,,WDK7974,30,,28,8,,,B
368089650,2022-10-18T09:54:01,42.45175,-70.52150,7.5,137.5,511.0,RELIANCE,,WDK7974,30,,28,8,,,B
338336878,2022-10-20T08:54:17,42.45558,-70.53564,13.6,137.0,511.0,BREAK AWAY,,,37,,13,4,,,B
338336878,2022-10-20T08:56:04,42.45010,-70.52986,14.1,131.9,511.0,BREAK AWAY,,,37,,13,4,,,B
338336878,2022-10-20T08:57:17,42.44658,-70.52572,15.1,139.6,511.0,BREAK AWAY,,,37,,13,4,,,B
338336878,2022-10-20T22:50:10,42.44997,-70.52195,14.9,325.5,511.0,BREAK AWAY,,,37,,13,4,,,B
338336878,2022-10-20T22:51:57,42.45547,-70.52922,15.7,320.1,511.0,BREAK AWAY,,,37,,13,4,,,B
368076870,2022-10-21T19:58:29,42.42285,-70.54629,26.1,291.3,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-21T19:59:58,42.42681,-70.55998,26.1,293.6,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-21T20:00:14,42.42750,-70.56241,25.8,289.6,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-22T11:27:09,42.42455,-70.56171,20.5,117.0,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-22T11:28:10,42.42217,-70.55422,21.6,113.2,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-22T16:14:11,42.42255,-70.52150,23.0,291.9,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-22T16:15:20,42.42501,-70.53076,23.7,285.1,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-22T16:16:26,42.42700,-70.53949,23.5,287.3,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-22T16:17:40,42.43006,-70.54939,22.7,291.9,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-22T16:18:56,42.43301,-70.55897,22.2,291.8,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-22T16:20:01,42.43602,-70.56760,23.3,297.1,511.0,KEEPER,,,37,,9,4,,,B
367547360,2022-10-22T22:08:52,42.43648,-70.56456,18.4,110.2,108.0,HOOKED UP,,WDG5507,30,,12,4,,,B
367547360,2022-10-22T22:10:07,42.43434,-70.55647,18.7,111.9,112.0,HOOKED UP,,WDG5507,30,,12,4,,,B
367547360,2022-10-22T22:11:35,42.43175,-70.54697,18.1,108.7,112.0,HOOKED UP,,WDG5507,30,,12,4,,,B
367547360,2022-10-22T22:12:52,42.42948,-70.53868,18.3,111.8,113.0,HOOKED UP,,WDG5507,30,,12,4,,,B
367547360,2022-10-22T22:13:53,42.42772,-70.53223,18.5,111.4,111.0,HOOKED UP,,WDG5507,30,,12,4,,,B
367547360,2022-10-22T22:15:05,42.42563,-70.52443,18.3,109.5,111.0,HOOKED UP,,WDG5507,30,,12,4,,,B
368076870,2022-10-23T10:09:01,42.42490,-70.56297,20.9,113.4,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-23T10:10:15,42.42228,-70.55379,21.4,107.5,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-23T22:08:57,42.44414,-70.52149,22.0,283.3,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-23T22:09:59,42.44579,-70.52934,21.6,291.7,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-23T22:11:12,42.44720,-70.53759,18.3,286.3,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-23T22:12:29,42.45029,-70.54638,19.3,294.9,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-23T22:13:33,42.45183,-70.55440,19.9,283.6,511.0,KEEPER,,,37,,9,4,,,B
368076870,2022-10-23T22:14:37,42.45339,-70.56291,21.0,284.1,511.0,KEEPER,,,37,,9,4,,,B
367547360,2022-10-23T22:30:47,42.44166,-70.52311,19.8,282.6,278.0,HOOKED UP,,WDG5507,30,,12,4,,,B
367547360,2022-10-23T22:32:03,42.44344,-70.53159,18.1,284.4,287.0,HOOKED UP,,WDG5507,30,,12,4,,,B
367547360,2022-10-23T22:33:16,42.44510,-70.53990,18.1,287.3,285.0,HOOKED UP,,WDG5507,30,,12,4,,,B
367547360,2022-10-23T22:34:32,42.44685,-70.54856,18.6,289.1,290.0,HOOKED UP,,WDG5507,30,,12,4,,,B
