MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367602740,2023-01-10T13:04:16,21.26938,-157.59208,7.9,245.9,511,AOLANI,IMO9759575,WDH2942,30,,23,6,,,B
367602740,2023-01-10T13:05:47,21.26792,-157.59508,7.6,240.2,511,AOLANI,IMO9759575,WDH2942,30,,23,6,,,B
367602740,2023-01-10T13:00:16,21.27319,-157.58391,7.5,247.4,511,AOLANI,IMO9759575,WDH2942,30,,23,6,,,B
367602740,2023-01-10T13:01:46,21.27177,-157.58704,7.6,244.3,511,AOLANI,IMO9759575,WDH2942,30,,23,6,,,B
367602740,2023-01-10T13:02:49,21.27079,-157.58916,7.6,240.7,511,AOLANI,IMO9759575,WDH2942,30,,23,6,,,B
368003650,2023-03-18T22:59:44,21.27041,-157.59838,7.4,66.8,511,CRYSTAL,,WDJ7133,30,,21,6,,,B
368003650,2023-03-18T23:00:13,21.27081,-157.59738,7.8,66.2,511,CRYSTAL,,WDJ7133,30,,21,6,,,B
368003650,2023-03-18T22:57:13,21.26839,-157.60353,7.7,65.3,511,CRYSTAL,,WDJ7133,30,,21,6,,,B
368003650,2023-03-18T22:58:14,21.2692,-157.60147,7.3,64.5,511,CRYSTAL,,WDJ7133,30,,21,6,,,B
368003650,2023-03-18T23:01:15,21.27163,-157.59529,7.3,68.9,511,CRYSTAL,,WDJ7133,30,,21,6,,,B
368003650,2023-03-18T23:03:13,21.27325,-157.59124,7.2,67.2,511,CRYSTAL,,WDJ7133,30,,21,6,,,B
368003650,2023-03-18T23:04:14,21.27409,-157.5892,7.7,62.8,511,CRYSTAL,,WDJ7133,30,,21,6,,,B
368003650,2023-03-18T23:05:42,21.27532,-157.58615,7.6,66.6,511,CRYSTAL,,WDJ7133,30,,21,6,,,B
368003650,2023-03-18T23:07:14,21.27658,-157.58299,7.4,72.5,511,CRYSTAL,,WDJ7133,30,,21,6,,,B
368031220,2023-03-16T22:20:45,21.26966,-157.58693,10.3,36.6,40,SIGRID DUNLAP,IMO9855068,WDJ9975,32,11,40,12,4.8,31,A
368031220,2023-03-16T22:21:46,21.27194,-157.58499,10.2,38.8,45,SIGRID DUNLAP,IMO9855068,WDJ9975,32,11,40,12,4.8,31,A
368031220,2023-03-16T22:22:48,21.27415,-157.58297,10.1,40.1,44,SIGRID DUNLAP,IMO9855068,WDJ9975,32,11,40,12,4.8,31,A
368031220,2023-03-16T22:23:51,21.27616,-157.58065,10,48.2,64,SIGRID DUNLAP,IMO9855068,WDJ9975,32,11,40,12,4.8,31,A
367111320,2023-03-27T22:37:26,21.27394,-157.6078,6.5,205.1,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:38:27,21.27237,-157.60867,6.5,209.1,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:39:28,21.27087,-157.60971,6.1,216.6,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:40:29,21.26938,-157.61065,5.8,222.1,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:41:30,21.26815,-157.61196,5.7,220.1,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:25:17,21.29207,-157.59592,6.5,195.4,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:26:18,21.2904,-157.59679,6.7,212.2,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:20:44,21.29962,-157.59273,6.2,202.7,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:22:14,21.29717,-157.59377,6.4,195.6,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:27:19,21.28902,-157.59795,5.5,209.9,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:28:49,21.28676,-157.59941,6.2,213.3,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:23:15,21.29546,-157.59446,6.2,211.8,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:24:16,21.2938,-157.59524,6.4,203.4,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:18:42,21.30295,-157.59135,6,211.3,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:19:43,21.30132,-157.59207,6.7,195.8,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:29:50,21.28532,-157.60048,6.4,215.9,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:30:51,21.28377,-157.6014,5.9,205.9,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:31:52,21.28227,-157.60245,6.2,209,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:32:53,21.28073,-157.60335,6.8,205.3,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:33:54,21.27925,-157.60441,6.1,214.1,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:34:55,21.27771,-157.60536,6,202.9,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
367111320,2023-03-27T22:35:56,21.27614,-157.60628,5.5,217.8,511,CHRISTINE N,,WDD2133,30,,17,5,,,B
368031220,2023-02-09T13:18:46,21.27248,-157.58146,9.3,228.2,227,SIGRID DUNLAP,IMO9855068,WDJ9975,32,11,40,12,4.8,32,A
368031220,2023-02-09T13:19:53,21.27052,-157.58373,9.4,227.3,223,SIGRID DUNLAP,IMO9855068,WDJ9975,32,11,40,12,4.8,32,A
368031220,2023-02-09T13:20:54,21.26871,-157.58581,9.4,227,223,SIGRID DUNLAP,IMO9855068,WDJ9975,32,11,40,12,4.8,32,A
