MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367773150,2024-03-29T01:14:08,20.80079,-156.63610,0.6,287.0,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T01:15:19,20.80065,-156.63619,0.6,286.5,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T01:16:27,20.80034,-156.63620,0.9,283.5,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T01:17:38,20.79999,-156.63611,0.9,278.3,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T01:22:07,20.79964,-156.63644,0.7,286.1,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T01:23:18,20.79944,-156.63651,0.8,282.3,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T01:24:29,20.79967,-156.63658,0.9,289.2,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T01:25:38,20.79979,-156.63653,0.4,291.0,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T01:26:39,20.79990,-156.63635,5.5,66.2,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T04:08:06,20.81447,-156.63716,13.0,312.0,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T04:09:17,20.81724,-156.64023,11.5,313.2,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T04:10:28,20.82054,-156.64269,12.4,330.9,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T04:11:36,20.82380,-156.64488,10.9,322.5,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T04:43:18,20.82272,-156.64608,12.0,148.8,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T04:44:25,20.81903,-156.64438,12.8,148.4,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T04:45:31,20.81588,-156.64172,12.8,143.7,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-29T04:46:37,20.81267,-156.63913,13.3,139.2,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:10:56,20.79630,-156.63638,7.1,285.3,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:11:57,20.79680,-156.63826,4.2,285.5,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:13:07,20.79703,-156.63902,0.5,285.9,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:14:08,20.79712,-156.63899,0.3,286.1,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:15:16,20.79715,-156.63877,0.8,286.7,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:16:27,20.79715,-156.63846,0.8,287.6,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:17:37,20.79713,-156.63811,1.4,288.9,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:18:47,20.79710,-156.63775,1.4,291.4,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:19:57,20.79710,-156.63768,3.8,282.4,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:21:08,20.79734,-156.63887,3.1,284.2,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:22:17,20.79772,-156.63955,2.5,292.7,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:23:18,20.79717,-156.64111,6.9,226.1,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:24:27,20.79455,-156.64134,8.7,172.0,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
367773150,2024-03-30T01:25:37,20.79183,-156.64035,10.3,149.9,511.0,CALVPSO,,WDJ3970,99,15,21,9,0.0,99,A
