MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
311000710,2020-01-07T03:03:14,32.07448,-78.36755,19.3,198.6,207.0,,,,,0,,,,,A
247376300,2020-02-26T11:51:02,32.08325,-78.38235,14.5,222.6,229.0,,,,,0,,,,,A
247376300,2020-02-26T11:52:15,32.07965,-78.38631,14.5,222.9,229.0,,,,,0,,,,,A
636018492,2020-03-19T05:10:59,32.05619,-78.38856,13.9,4.8,2.0,,,,,0,,,,,A
636018492,2020-03-19T05:12:10,32.06072,-78.38806,13.8,5.7,2.0,,,,,0,,,,,A
636018492,2020-03-19T05:13:16,32.06498,-78.38758,13.8,5.7,2.0,,,,,0,,,,,A
636018492,2020-03-19T05:14:34,32.06991,-78.38695,13.9,6.9,5.0,,,,,0,,,,,A
636018492,2020-03-19T05:15:41,32.07407,-78.38617,13.9,10.1,5.0,,,,,0,,,,,A
636018492,2020-03-19T05:16:47,32.07824,-78.38535,13.9,9.1,5.0,,,,,0,,,,,A
636018492,2020-03-19T05:17:52,32.08241,-78.38455,13.9,9.5,5.0,,,,,0,,,,,A
636018492,2020-03-19T05:18:53,32.08622,-78.38383,13.9,8.4,5.0,,,,,0,,,,,A
566034000,2020-06-20T22:05:54,32.05522,-78.36856,33.8,63.6,511.0,,,,,15,,,,,A
566034000,2020-06-20T22:07:12,32.06079,-78.35581,33.2,62.8,511.0,,,,,15,,,,,A
538071296,2020-06-24T02:01:30,32.07339,-78.38006,13.9,38.8,23.0,,,,,0,,,,,A
441344000,2020-06-26T14:23:49,32.05421,-78.37755,18.1,47.4,43.0,,,,,0,,,,,A
441344000,2020-06-26T14:24:55,32.05790,-78.37281,18.2,48.0,43.0,,,,,0,,,,,A
441344000,2020-06-26T14:26:02,32.06167,-78.36787,18.1,48.3,43.0,,,,,0,,,,,A
441344000,2020-06-26T14:27:08,32.06543,-78.36295,18.1,48.0,43.0,,,,,0,,,,,A
441344000,2020-06-26T14:28:13,32.06908,-78.35830,18.1,47.3,43.0,,,,,0,,,,,A
441344000,2020-06-26T14:29:20,32.07291,-78.35325,18.3,48.8,44.0,,,,,0,,,,,A
255806355,2020-07-18T07:43:53,32.08750,-78.37576,7.7,189.0,201.0,,,,,0,,,,,A
255806355,2020-07-18T07:45:03,32.08505,-78.37621,7.5,190.0,204.0,,,,,0,,,,,A
255806355,2020-07-18T07:46:13,32.08278,-78.37679,7.2,192.0,205.0,,,,,0,,,,,A
255806355,2020-07-18T07:47:14,32.08079,-78.37739,7.2,196.0,206.0,,,,,0,,,,,A
255806355,2020-07-18T07:48:24,32.07848,-78.37813,7.4,194.0,203.0,,,,,0,,,,,A
255806355,2020-07-18T07:49:33,32.07613,-78.37878,7.7,192.0,202.0,,,,,0,,,,,A
255806355,2020-07-18T07:50:44,32.07363,-78.37934,7.6,192.0,204.0,,,,,0,,,,,A
255806355,2020-07-18T07:51:53,32.07129,-78.37989,7.5,191.0,203.0,,,,,0,,,,,A
255806355,2020-07-18T07:53:03,32.06895,-78.38042,7.2,191.0,204.0,,,,,0,,,,,A
255806355,2020-07-18T07:54:14,32.06663,-78.38106,7.3,194.0,206.0,,,,,0,,,,,A
255806355,2020-07-18T07:55:23,32.06438,-78.38173,7.3,194.0,204.0,,,,,0,,,,,A
255806355,2020-07-18T07:56:43,32.06177,-78.38257,7.3,197.0,206.0,,,,,0,,,,,A
255806355,2020-07-18T07:58:03,32.05913,-78.38350,7.5,196.0,203.0,,,,,0,,,,,A
255806355,2020-07-18T07:59:13,32.05670,-78.38421,7.8,193.0,202.0,,,,,0,,,,,A
255806355,2020-07-18T08:00:13,32.05462,-78.38474,7.8,192.0,201.0,,,,,0,,,,,A
477150800,2020-07-27T00:19:13,32.05536,-78.37054,16.6,41.1,43.0,,,,,0,,,,,A
477150800,2020-07-27T00:20:14,32.05881,-78.36688,16.6,41.6,42.0,,,,,0,,,,,A
477150800,2020-07-27T00:21:31,32.06334,-78.36218,16.6,42.2,44.0,,,,,0,,,,,A
477150800,2020-07-27T00:22:43,32.06739,-78.35784,16.6,41.2,43.0,,,,,0,,,,,A
477150800,2020-07-27T00:23:49,32.07121,-78.35374,16.6,42.5,43.0,,,,,0,,,,,A
441344000,2020-07-28T06:29:37,32.05384,-78.39075,19.0,42.1,43.0,,,,,0,,,,,A
441344000,2020-07-28T06:30:42,32.05807,-78.38622,19.0,42.2,43.0,,,,,0,,,,,A
441344000,2020-07-28T06:31:43,32.06205,-78.38196,19.0,42.5,43.0,,,,,0,,,,,A
441344000,2020-07-28T06:32:48,32.06628,-78.37742,19.0,42.3,43.0,,,,,0,,,,,A
441344000,2020-07-28T06:33:54,32.07058,-78.37282,18.9,42.2,43.0,,,,,0,,,,,A
441344000,2020-07-28T06:35:07,32.07537,-78.36778,19.0,42.0,43.0,,,,,0,,,,,A
441344000,2020-07-28T06:36:12,32.07958,-78.36324,18.9,42.6,44.0,,,,,0,,,,,A
441344000,2020-07-28T06:37:18,32.08389,-78.35868,18.9,41.5,43.0,,,,,0,,,,,A
247376400,2020-08-21T04:39:59,32.08163,-78.37665,13.6,221.8,225.0,,,,,0,,,,,A
247376400,2020-08-21T04:42:59,32.07334,-78.38571,13.6,223.1,225.0,,,,,0,,,,,A
247376400,2020-08-21T04:44:59,32.06782,-78.39174,13.6,223.5,225.0,,,,,0,,,,,A
355729000,2020-08-31T10:12:54,32.08335,-78.39336,21.5,51.8,48.0,,,,,0,,,,,A
355729000,2020-08-31T10:13:59,32.08732,-78.38735,21.4,51.8,47.0,,,,,0,,,,,A
563092700,2020-09-07T18:37:44,32.05862,-78.37503,15.0,90.3,93.0,,,,,0,,,,,A
247376400,2020-09-09T12:42:16,32.08499,-78.39432,17.0,40.3,32.0,,,,,0,,,,,A
563065800,2020-10-26T09:59:02,32.05585,-78.37880,14.7,82.9,83.0,,,,,0,,,,,A
