MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
566414000,2020-02-08T09:49:25,29.33671,-78.03634,14.2,27.4,30.0,,,,,0,,,,,A
314444000,2020-06-18T15:04:48,29.34702,-78.03884,12.6,212.7,215.0,,,,,0,,,,,A
354891000,2020-06-30T21:34:12,29.31567,-78.00177,12.5,317.0,315.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:35:21,29.31857,-78.00486,12.5,316.8,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:36:22,29.32117,-78.00761,12.5,317.4,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:37:32,29.32416,-78.01077,12.5,317.6,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:38:42,29.32714,-78.01394,12.7,316.4,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:39:51,29.33009,-78.01709,12.5,316.6,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:41:01,29.33308,-78.02027,12.6,316.5,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:42:02,29.33567,-78.02310,12.8,316.9,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:43:12,29.33868,-78.02631,12.6,316.0,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:44:22,29.34170,-78.02951,12.9,316.7,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:45:32,29.34473,-78.03274,12.7,316.5,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
354891000,2020-06-30T21:46:41,29.34767,-78.03588,13.0,317.3,316.0,NYK NEBULA,IMO9337640,3ENG6,70,0,294,32,13.5,71,A
538008166,2020-07-31T06:17:33,29.34712,-78.01833,13.8,214.6,216.0,,,,,0,,,,,A
538008166,2020-07-31T06:18:44,29.34341,-78.02129,13.8,215.1,216.0,,,,,0,,,,,A
538008166,2020-07-31T06:19:53,29.33983,-78.02415,13.8,215.3,216.0,,,,,0,,,,,A
538008166,2020-07-31T06:21:13,29.33556,-78.02755,13.9,214.9,216.0,,,,,0,,,,,A
538008166,2020-07-31T06:23:13,29.32926,-78.03265,13.9,215.0,216.0,,,,,0,,,,,A
538008166,2020-07-31T06:24:33,29.32507,-78.03603,13.9,215.1,216.0,,,,,0,,,,,A
538008166,2020-07-31T06:25:53,29.32092,-78.03946,13.8,215.7,216.0,,,,,0,,,,,A
