MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
636018837,2019-09-17T23:11:22,28.50873,-89.28014,13.8,9.5,4.0,,,,,0,,,,,A
636018837,2019-09-17T23:12:34,28.51326,-89.27949,13.8,6.1,2.0,,,,,0,,,,,A
311000789,2019-09-23T06:24:06,28.54202,-89.28007,11.7,178.0,179.0,,,,,0,,,,,A
311000789,2019-09-23T06:25:16,28.53818,-89.27995,11.6,179.0,179.0,,,,,0,,,,,A
311000789,2019-09-23T06:27:16,28.53168,-89.27982,11.7,178.0,180.0,,,,,0,,,,,A
311000789,2019-09-23T06:28:26,28.52795,-89.27975,11.7,179.0,180.0,,,,,0,,,,,A
311000789,2019-09-23T06:29:45,28.52362,-89.27973,11.7,180.0,180.0,,,,,0,,,,,A
311000789,2019-09-23T06:31:45,28.51714,-89.27963,11.7,179.0,180.0,,,,,0,,,,,A
311000789,2019-09-23T06:33:16,28.51222,-89.27955,11.7,179.0,180.0,,,,,0,,,,,A
311000789,2019-09-23T06:34:25,28.50850,-89.27944,11.7,178.0,180.0,,,,,0,,,,,A
477202800,2019-09-23T17:10:53,28.50903,-89.28165,10.6,356.7,357.0,,,,,0,,,,,A
477202800,2019-09-23T17:12:13,28.51294,-89.28190,10.7,357.2,356.0,,,,,0,,,,,A
477202800,2019-09-23T17:13:14,28.51598,-89.28220,10.8,355.1,355.0,,,,,0,,,,,A
477202800,2019-09-23T17:15:04,28.52148,-89.28279,10.9,353.8,354.0,,,,,0,,,,,A
477202800,2019-09-23T17:16:44,28.52649,-89.28342,10.9,353.2,353.0,,,,,0,,,,,A
477202800,2019-09-23T17:18:14,28.53100,-89.28404,10.9,353.0,353.0,,,,,0,,,,,A
477202800,2019-09-23T17:19:22,28.53445,-89.28448,10.8,352.9,353.0,,,,,0,,,,,A
368021936,2019-09-26T02:29:11,28.52698,-89.28743,17.0,292.1,292.0,,,,,0,,,,,A
368021936,2019-09-26T02:31:17,28.53066,-89.29802,17.2,291.1,292.0,,,,,0,,,,,A
368021936,2019-09-26T02:32:54,28.53346,-89.30618,17.0,291.4,290.0,,,,,0,,,,,A
368021936,2019-09-26T02:34:17,28.53591,-89.31309,17.0,291.6,290.0,,,,,0,,,,,A
354298000,2019-09-28T00:19:53,28.51346,-89.28169,16.1,2.0,6.0,CARNIVAL VALOR,IMO9236389,H3VR,60,0,290,35,8.3,69,A
354298000,2019-09-28T00:21:53,28.52242,-89.28135,16.0,2.0,6.0,CARNIVAL VALOR,IMO9236389,H3VR,60,0,290,35,8.3,69,A
354298000,2019-09-28T00:24:40,28.53480,-89.28085,16.0,2.4,6.0,CARNIVAL VALOR,IMO9236389,H3VR,60,0,290,35,8.3,69,A
354298000,2019-09-28T00:25:59,28.54069,-89.28063,16.1,1.5,4.0,CARNIVAL VALOR,IMO9236389,H3VR,60,0,290,35,8.3,69,A
368021936,2019-09-29T18:12:43,28.52119,-89.28395,18.3,291.4,293.0,,,,,0,,,,,A
368021936,2019-09-29T18:14:19,28.52400,-89.29243,18.1,289.8,291.0,,,,,0,,,,,A
368021936,2019-09-29T18:15:38,28.52633,-89.29939,18.1,289.3,289.0,,,,,0,,,,,A
368021936,2019-09-29T18:17:55,28.53045,-89.31159,17.5,289.7,290.0,,,,,0,,,,,A
