MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
255806102,2020-01-13T03:00:19,29.23573,-78.34515,13.3,24.3,32.0,,,,,0,,,,,A
255806102,2020-01-13T03:01:30,29.23963,-78.34304,13.2,25.5,32.0,,,,,0,,,,,A
255806102,2020-01-13T03:02:51,29.24408,-78.34065,13.2,25.1,33.0,,,,,0,,,,,A
255806102,2020-01-13T03:03:59,29.24781,-78.33857,13.2,25.3,32.0,,,,,0,,,,,A
255806102,2020-01-13T03:05:11,29.25181,-78.33645,13.2,24.8,31.0,,,,,0,,,,,A
255806102,2020-01-13T03:06:19,29.25563,-78.33440,13.3,25.3,31.0,,,,,0,,,,,A
255806102,2020-01-13T03:07:30,29.25968,-78.33221,13.4,25.5,31.0,,,,,0,,,,,A
255806102,2020-01-13T03:08:40,29.26353,-78.33012,13.2,25.2,32.0,,,,,0,,,,,A
636018150,2020-03-29T08:45:10,29.23533,-78.35527,20.3,24.6,27.0,,,,,0,,,,,A
636018150,2020-03-29T08:46:28,29.24189,-78.35154,20.2,26.9,28.0,,,,,0,,,,,A
636018150,2020-03-29T08:48:10,29.25046,-78.34674,20.1,26.1,27.0,,,,,0,,,,,A
636018150,2020-03-29T08:50:10,29.26051,-78.34107,20.1,26.1,27.0,,,,,0,,,,,A
636018150,2020-03-29T08:51:16,29.26605,-78.33802,20.1,25.5,27.0,,,,,0,,,,,A
636018150,2020-04-18T15:58:45,29.26434,-78.33554,14.4,204.7,207.0,,,,,0,,,,,A
636018150,2020-04-18T16:01:33,29.25426,-78.34107,14.4,207.1,207.0,,,,,0,,,,,A
636018150,2020-04-18T16:02:47,29.24983,-78.34343,14.4,205.4,208.0,,,,,0,,,,,A
636018150,2020-04-18T16:03:57,29.24562,-78.34578,14.4,204.5,208.0,,,,,0,,,,,A
366032000,2020-04-26T07:41:22,29.25706,-78.33242,15.6,203.6,205.0,CHEMICAL PIONEER,IMO6806444,KAFO,80,0,209,24,10.8,,A
366032000,2020-04-26T07:43:22,29.24913,-78.33634,15.4,203.4,205.0,CHEMICAL PIONEER,IMO6806444,KAFO,80,0,209,24,10.8,,A
366032000,2020-04-26T07:44:28,29.24477,-78.33848,15.4,202.7,205.0,CHEMICAL PIONEER,IMO6806444,KAFO,80,0,209,24,10.8,,A
366032000,2020-04-26T07:46:34,29.23643,-78.34237,15.4,202.4,205.0,CHEMICAL PIONEER,IMO6806444,KAFO,80,0,209,24,10.8,,A
563091300,2020-05-06T11:36:46,29.26760,-78.34322,11.7,209.0,211.0,,,,,0,,,,,A
563091300,2020-05-06T11:40:05,29.25820,-78.34940,11.7,209.0,210.0,,,,,0,,,,,A
563091300,2020-05-06T11:42:25,29.25147,-78.35372,11.6,210.0,211.0,,,,,0,,,,,A
563091300,2020-05-06T11:47:45,29.23610,-78.36258,11.6,204.0,206.0,,,,,0,,,,,A
636018150,2020-05-31T11:28:01,29.26402,-78.33584,17.5,205.4,204.0,,,,,0,,,,,A
636018150,2020-05-31T11:29:55,29.25560,-78.34052,17.6,205.5,204.0,,,,,0,,,,,A
636018150,2020-05-31T11:31:07,29.25029,-78.34341,17.7,205.8,204.0,,,,,0,,,,,A
636018150,2020-06-27T14:08:11,29.26524,-78.33509,14.3,205.4,207.0,,,,,0,,,,,A
636018150,2020-06-27T14:09:30,29.26051,-78.33771,14.3,205.9,207.0,,,,,0,,,,,A
636018150,2020-06-27T14:10:53,29.25563,-78.34038,14.2,205.8,207.0,,,,,0,,,,,A
636018150,2020-06-27T14:12:00,29.25165,-78.34257,14.2,205.3,207.0,,,,,0,,,,,A
636018150,2020-06-27T14:13:11,29.24746,-78.34490,14.2,206.1,207.0,,,,,0,,,,,A
636018150,2020-06-27T14:14:18,29.24349,-78.34709,14.2,206.1,207.0,,,,,0,,,,,A
636018150,2020-06-27T14:15:54,29.23779,-78.35021,14.2,205.5,207.0,,,,,0,,,,,A
636018150,2020-07-19T09:01:19,29.23591,-78.35116,16.6,25.5,26.0,,,,,0,,,,,A
636018895,2020-07-31T06:03:42,29.26703,-78.34923,13.8,181.7,180.0,,,,,0,,,,,A
636018895,2020-07-31T06:05:01,29.26192,-78.34937,13.8,183.4,181.0,,,,,0,,,,,A
636018895,2020-07-31T06:06:02,29.25816,-78.34946,13.7,181.0,180.0,,,,,0,,,,,A
636018895,2020-07-31T06:07:12,29.25364,-78.34954,13.7,180.8,180.0,,,,,0,,,,,A
636018895,2020-07-31T06:08:22,29.24912,-78.34968,13.8,181.7,180.0,,,,,0,,,,,A
636018895,2020-07-31T06:09:33,29.24466,-78.34977,13.8,182.1,180.0,,,,,0,,,,,A
636018895,2020-07-31T06:10:42,29.24027,-78.34987,13.8,180.6,180.0,,,,,0,,,,,A
636018895,2020-07-31T06:12:13,29.23446,-78.35001,13.7,179.9,180.0,,,,,0,,,,,A
636018150,2020-08-20T10:47:09,29.23683,-78.35087,18.4,25.3,29.0,,,,,0,,,,,A
247376400,2020-09-17T23:53:36,29.24190,-78.34695,17.2,204.5,204.0,,,,,0,,,,,A
