MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538004729,2020-03-06T13:28:47,32.05298,-77.35136,14.9,214.9,219.0,ICE RANGER,IMO8311132,V7YT5,70,0,144,23,10.0,70,A
538004729,2020-03-06T13:31:52,32.04237,-77.35993,15.0,216.0,219.0,ICE RANGER,IMO8311132,V7YT5,70,0,144,23,10.0,70,A
538004729,2020-03-06T13:34:11,32.03447,-77.36641,15.0,214.8,219.0,ICE RANGER,IMO8311132,V7YT5,70,0,144,23,10.0,70,A
353997000,2020-08-03T14:15:55,32.02470,-77.32849,13.7,92.1,103.0,,,,,0,,,,,A
353112000,2020-11-13T21:33:10,32.02657,-77.33196,14.9,9.2,6.0,,,,,0,,,,,A
353112000,2020-11-13T21:34:34,32.03227,-77.33103,14.9,8.2,5.0,,,,,0,,,,,A
353112000,2020-11-13T21:37:16,32.04336,-77.32922,14.8,8.0,5.0,,,,,0,,,,,A
353112000,2020-11-13T21:39:52,32.05416,-77.32736,14.9,7.8,4.0,,,,,0,,,,,A
538006546,2020-04-07T11:49:51,32.02417,-77.34642,12.2,303.2,296.0,TRF MEMPHIS,IMO9732797,V7OF9,80,0,184,,,,A
538006546,2020-04-07T11:51:12,32.02660,-77.35095,12.1,301.5,293.0,TRF MEMPHIS,IMO9732797,V7OF9,80,0,184,,,,A
538006546,2020-04-07T11:52:21,32.02840,-77.35506,11.8,293.9,284.0,TRF MEMPHIS,IMO9732797,V7OF9,80,0,184,,,,A
538006546,2020-04-07T11:53:51,32.02970,-77.36049,11.3,280.3,275.0,TRF MEMPHIS,IMO9732797,V7OF9,80,0,184,,,,A
538006546,2020-04-07T11:55:12,32.03035,-77.36541,11.3,278.9,277.0,TRF MEMPHIS,IMO9732797,V7OF9,80,0,184,,,,A
246452000,2020-05-31T11:04:43,32.02699,-77.36399,18.0,42.8,40.0,SPAARNEGRACHT,IMO9202558,PDBO,70,0,168,25,10.7,,A
246452000,2020-05-31T11:05:50,32.03113,-77.35944,18.0,43.8,40.0,SPAARNEGRACHT,IMO9202558,PDBO,70,0,168,25,10.7,,A
246452000,2020-05-31T11:07:01,32.03552,-77.35462,17.9,43.3,40.0,SPAARNEGRACHT,IMO9202558,PDBO,70,0,168,25,10.7,,A
246452000,2020-05-31T11:08:02,32.03919,-77.35064,18.0,42.7,40.0,SPAARNEGRACHT,IMO9202558,PDBO,70,0,168,25,10.7,,A
246452000,2020-05-31T11:10:20,32.04763,-77.34138,17.9,43.0,40.0,SPAARNEGRACHT,IMO9202558,PDBO,70,0,168,25,10.7,,A
246452000,2020-05-31T11:11:26,32.05157,-77.33700,17.9,43.7,40.0,SPAARNEGRACHT,IMO9202558,PDBO,70,0,168,25,10.7,,A
246452000,2020-05-31T11:12:37,32.05590,-77.33213,17.9,43.9,40.0,SPAARNEGRACHT,IMO9202558,PDBO,70,0,168,25,10.7,,A
246452000,2020-05-31T11:13:43,32.05987,-77.32768,17.9,44.1,40.0,SPAARNEGRACHT,IMO9202558,PDBO,70,0,168,25,10.7,,A
228340900,2020-11-19T00:53:26,32.02650,-77.35852,21.4,85.8,88.0,CMA CGM LA TRAVIATA,IMO9299795,FMFT,70,0,334,42,14.5,,A
563213000,2020-03-21T15:46:02,32.03143,-77.34252,15.4,31.0,29.0,EAGLE TOLEDO,IMO9250892,S6NK3,80,0,246,42,14.8,,A
563213000,2020-03-21T15:47:20,32.03619,-77.33911,15.4,31.1,29.0,EAGLE TOLEDO,IMO9250892,S6NK3,80,0,246,42,14.8,,A
563213000,2020-03-21T15:48:26,32.04019,-77.33617,15.4,30.3,29.0,EAGLE TOLEDO,IMO9250892,S6NK3,80,0,246,42,14.8,,A
563213000,2020-03-21T15:50:44,32.04853,-77.33011,15.4,31.0,27.0,EAGLE TOLEDO,IMO9250892,S6NK3,80,0,246,42,14.8,,A
249592000,2020-09-24T09:48:51,32.03954,-77.36086,12.9,53.2,52.0,MYRTOS,IMO9389100,9HA4299,80,0,243,42,15.1,82,A
249592000,2020-09-24T09:50:01,32.04212,-77.35683,13.0,52.7,53.0,MYRTOS,IMO9389100,9HA4299,80,0,243,42,15.1,82,A
249592000,2020-09-24T09:51:31,32.04528,-77.35180,12.9,53.5,53.0,MYRTOS,IMO9389100,9HA4299,80,0,243,42,15.1,82,A
249592000,2020-09-24T09:54:01,32.05062,-77.34330,12.7,54.0,53.0,MYRTOS,IMO9389100,9HA4299,80,0,243,42,15.1,82,A
249592000,2020-09-24T09:55:20,32.05339,-77.33886,12.8,53.3,52.0,MYRTOS,IMO9389100,9HA4299,80,0,243,42,15.1,82,A
249592000,2020-09-24T09:56:31,32.05584,-77.33489,12.9,54.7,51.0,MYRTOS,IMO9389100,9HA4299,80,0,243,42,15.1,82,A
